교통사고 당사자 번호,이름,성별,생년월일,면허유무,안전벨트 유무,음주 여부,부상/사망 여부,교통사고 종류,교통사고 날짜,사고직전 속도,사고 발생지,대전시 사고 관리 번호
143,곽선우,여,1981.10.27,유,유,유,부상,음주운전,2022.1.27,96,대덕구 법동,2022A41
319,김채원,여,1987.12.5,유,유,무,부상,신호위반,2022.1.13,93,유성구 전민동,2022A42
433,최민서,여,1983.9.19,유,유,무,부상,과속,2022.1.8,108,유성구 전민동,2022A43
509,육지민,여,1984.7.18,유,유,무,부상,과속,2022.1.8,111,유성구 전민동,2022A43
564,이준우,남,1983.12.6,유,유,무,부상,과속,2022.1.8,119,유성구 전민동,2022A43
74,최하은,남,1971.11.2,유,유,무,사망,신호위반,2022.1.9,130,서구 둔상동,2022A45
295,이예준,남,1961.2.17,유,유,무,부상,신호위반,2022.1.30,117,대덕구 석봉동,2022A46
175,조하은,남,1991.9.4,유,유,무,사망,과속,2022.1.4,137,대덕구 송촌동,2022A49
322,곽서준,남,1994.10.4,유,유,무,부상,과속,2022.1.4,124,대덕구 송촌동,2022A49
933,곽예준,여,1995.11.13,유,유,무,부상,중앙선 침범,2022.1.20,129,중구 오류동,2022A50
171,이준서,남,1979.6.22,유,유,무,부상,과속,2022.1.8,92,대덕구 회덕동,2022A51
230,조주호,여,1982.12.8,유,유,무,사망,중앙선 침범,2022.1.24,138,유성구 진잠동,2022A54
822,이예준,여,1993.3.25,유,유,유,부상,중앙선 침범,2022.1.24,129,유성구 진잠동,2022A54
787,육채은,남,1978.8.26,유,유,무,부상,과속,2022.1.1,106,서구 만년동,2022A56
104,육하준,남,1993.5.9,유,유,무,사망,신호위반,2022.1.29,121,대덕구 회덕동,2022A59
492,유수정,남,1994.6.27,유,유,무,부상,음주운전,2022.1.18,107,대덕구 오정동,2022A6
876,한채은,남,1969.7.1,유,유,무,부상,음주운전,2022.1.18,121,대덕구 오정동,2022A6
450,노지후,여,1964.4.7,유,유,유,부상,음주운전,2022.1.1,93,유성구 노은동,2022A60
904,박지민,남,1986.11.2,유,유,무,부상,음주운전,2022.1.1,113,유성구 노은동,2022A60
385,곽도윤,여,2000.4.16,유,유,무,사망,신호위반,2022.1.16,137,유성구 신성동,2022A61
782,황준서,여,1987.10.1,유,유,무,부상,신호위반,2022.1.16,115,유성구 신성동,2022A61
278,성서연,여,1967.4.24,유,유,무,부상,신호위반,2022.1.27,116,중구 목동,2022A63
765,정시우,여,1981.11.7,유,유,유,부상,음주운전,2022.1.17,106,중구 대사동,2022A64
232,곽서윤,여,1979.11.4,유,유,무,부상,중앙선 침범,2022.1.26,117,서구 도마동,2022A66
718,최서윤,남,1969.7.16,유,유,무,부상,중앙선 침범,2022.1.26,108,서구 도마동,2022A66
243,박준우,남,1970.3.3,유,유,무,부상,중앙선 침범,2022.1.8,91,동구 삼성동,2022A67
833,장하윤,여,1961.9.26,유,유,무,부상,중앙선 침범,2022.1.8,125,동구 삼성동,2022A67
15,곽지우,남,1965.7.22,유,유,유,부상,음주운전,2022.1.18,96,대덕구 오정동,2022A68
910,김지호,남,1980.7.16,유,유,무,부상,음주운전,2022.1.18,102,대덕구 오정동,2022A68
200,곽채원,여,1979.2.25,유,유,무,부상,중앙선 침범,2022.1.26,126,중구 대흥동,2022A71
649,최도윤,여,1968.9.20,유,유,무,부상,신호위반,2022.1.7,107,대덕구 송촌동,2022A72
658,황연우,여,2001.4.3,유,유,무,부상,중앙선 침범,2022.1.13,94,유성구 신성동,2022A73
741,박연우,남,1989.1.14,유,유,유,사망,음주운전,2022.1.18,130,서구 둔상동,2022A75
826,최민서,여,2001.10.23,유,유,무,부상,음주운전,2022.1.18,96,서구 둔상동,2022A75
887,조지우,남,1997.5.11,유,유,무,부상,음주운전,2022.1.18,125,서구 둔상동,2022A75
980,황준서,남,1994.3.6,유,유,무,부상,신호위반,2022.1.25,90,동구 효동,2022A76
396,한서진,남,1962.8.28,유,유,무,사망,중앙선 침범,2022.1.6,119,동구 효동,2022A77
259,장서윤,남,1971.8.10,유,유,유,부상,음주운전,2022.1.17,100,대덕구 법동,2022A78
868,곽하준,남,1968.2.11,유,유,무,부상,신호위반,2022.1.17,102,대덕구 석봉동,2022A8
317,육지원,여,1960.1.12,유,유,무,부상,중앙선 침범,2022.1.4,123,대덕구 석봉동,2022A80
972,육채은,여,1980.3.26,유,유,무,부상,중앙선 침범,2022.1.4,129,대덕구 석봉동,2022A80
709,황시우,남,1965.4.9,유,유,무,부상,과속,2022.1.24,117,서구 도마동,2022A84
850,유하윤,여,1997.9.4,유,유,무,부상,신호위반,2022.1.23,94,유성구 신성동,2022A85
108,한주원,남,1998.9.9,유,유,무,사망,중앙선 침범,2022.1.15,130,유성구 진잠동,2022A86
6,조서현,남,1974.5.4,유,유,무,사망,신호위반,2022.1.17,136,대덕구 석봉동,2022A87
234,조지후,남,1984.3.6,유,유,무,사망,신호위반,2022.1.17,130,대덕구 석봉동,2022A87
486,정하윤,여,1987.12.24,유,유,무,사망,신호위반,2022.1.17,139,대덕구 석봉동,2022A87
9,조지후,남,1976.3.4,유,유,무,부상,중앙선 침범,2022.1.25,129,서구 갈마동,2022A9
320,박하윤,여,1977.5.24,유,유,무,부상,과속,2022.1.19,125,유성구 전민동,2022A90
893,노준우,남,1993.10.8,유,유,무,부상,과속,2022.1.19,93,유성구 전민동,2022A90
929,이하윤,여,1999.1.9,유,유,무,부상,과속,2022.1.19,117,유성구 전민동,2022A90
332,한채원,여,1970.7.20,유,유,무,사망,중앙선 침범,2022.1.2,132,중구 오류동,2022A91
923,성예준,남,1974.6.29,유,유,유,사망,음주운전,2022.1.22,90,서구 둔상동,2022A92
389,성수정,여,1960.7.7,유,유,유,부상,음주운전,2022.1.3,124,유성구 진잠동,2022A93
978,곽서연,남,1978.8.15,유,유,유,사망,음주운전,2022.1.3,135,유성구 진잠동,2022A93
146,최지안,여,1985.2.6,유,유,무,사망,중앙선 침범,2022.1.28,114,서구 월평동,2022A95
124,김지유,남,1972.10.25,유,유,무,사망,중앙선 침범,2022.1.4,132,서구 만년동,2022A96
516,정주원,여,1982.12.31,유,유,무,부상,중앙선 침범,2022.1.1,118,중구 목동,2022A97
731,곽도윤,여,1973.7.6,유,유,무,사망,중앙선 침범,2022.1.1,138,중구 목동,2022A97
745,성서연,남,2002.9.21,유,유,무,부상,중앙선 침범,2022.1.1,120,중구 목동,2022A97
205,정준우,남,1990.9.17,유,유,유,부상,음주운전,2022.1.8,95,대덕구 오정동,2022A98
271,한수정,남,1996.5.5,유,유,유,사망,음주운전,2022.1.8,135,대덕구 오정동,2022A98
762,김준서,남,1981.3.25,유,유,유,부상,음주운전,2022.1.8,101,대덕구 오정동,2022A98
376,노수정,남,1974.8.6,유,유,무,부상,중앙선 침범,2022.1.14,116,중구 목동,2022A99
616,육채은,남,1974.12.17,유,유,유,사망,중앙선 침범,2022.1.14,137,중구 목동,2022A99
769,성지후,여,1974.4.14,유,유,무,부상,과속,2022.2.22,99,중구 목동,2022B1
412,조지후,남,1988.2.7,유,유,무,부상,중앙선 침범,2022.2.18,121,유성구 관평동,2022B10
655,성준우,여,1974.4.29,유,유,유,부상,음주운전,2022.2.27,100,유성구 관평동,2022B11
174,육예준,여,1964.10.27,유,유,무,사망,과속,2022.2.22,131,중구 목동,2022B13
905,황연우,여,1987.12.25,유,유,무,부상,과속,2022.2.22,111,중구 목동,2022B13
364,한예준,여,1966.6.13,유,유,유,사망,음주운전,2022.2.5,139,대덕구 회덕동,2022B14
921,장민준,여,1976.9.13,유,유,무,부상,음주운전,2022.2.5,103,대덕구 회덕동,2022B14
309,박서준,남,1973.9.25,유,유,유,사망,음주운전,2022.2.27,100,중구 대흥동,2022B15
640,황채원,여,1998.9.2,유,유,유,부상,음주운전,2022.2.13,113,중구 은행선화동,2022B18
414,유선우,여,1999.3.17,유,유,무,부상,중앙선 침범,2022.2.16,95,대덕구 석봉동,2022B19
839,김선우,여,1983.1.26,유,유,무,사망,중앙선 침범,2022.2.16,139,대덕구 석봉동,2022B19
622,김준서,여,1974.8.24,유,유,무,사망,과속,2022.2.17,132,서구 월평동,2022B21
341,황채은,남,1965.7.13,유,유,유,사망,음주운전,2022.2.1,91,유성구 신성동,2022B22
806,노지우,여,1998.10.8,유,유,무,부상,과속,2022.2.24,112,유성구 진잠동,2022B23
789,박서현,남,1973.9.8,유,유,무,사망,과속,2022.2.13,136,중구 대흥동,2022B24
825,조지원,남,1992.10.5,유,유,무,부상,과속,2022.2.24,110,유성구 관평동,2022B28
198,성예준,여,1974.12.21,유,유,무,부상,신호위반,2022.2.3,107,중구 오류동,2022B29
798,최시우,남,1969.9.9,유,유,무,사망,신호위반,2022.2.3,133,중구 오류동,2022B29
84,장민준,여,1994.12.2,유,유,무,부상,과속,2022.2.18,110,유성구 진잠동,2022B3
615,조하은,여,1984.10.25,유,유,유,부상,과속,2022.2.18,129,유성구 진잠동,2022B3
691,장서연,여,1999.1.25,유,유,무,부상,과속,2022.2.18,110,유성구 진잠동,2022B3
854,김선우,남,1989.7.16,유,유,유,부상,과속,2022.2.18,122,유성구 진잠동,2022B3
164,이하윤,여,1993.1.4,유,유,유,부상,음주운전,2022.2.15,127,서구 갈마동,2022B30
179,최수정,여,1961.11.2,유,유,무,부상,음주운전,2022.2.15,107,서구 갈마동,2022B30
478,장윤서,여,1970.9.3,유,유,무,부상,과속,2022.2.15,121,중구 은행선화동,2022B33
223,성서진,남,1962.2.9,유,유,유,사망,음주운전,2022.2.27,108,서구 둔상동,2022B36
781,곽지민,남,1986.3.2,유,유,무,부상,음주운전,2022.2.27,93,서구 둔상동,2022B36
240,성수정,남,1962.10.11,유,유,무,사망,중앙선 침범,2022.2.20,129,서구 만년동,2022B38
595,황지원,여,1993.4.23,유,유,무,사망,중앙선 침범,2022.2.20,104,서구 만년동,2022B38
749,노서현,여,1961.5.11,유,유,무,부상,중앙선 침범,2022.2.20,106,서구 만년동,2022B38
776,성지민,여,1970.8.1,유,유,유,부상,음주운전,2022.2.24,123,서구 도마동,2022B40
571,노채원,남,1972.6.24,유,유,무,부상,중앙선 침범,2022.2.10,91,동구 자양동,2022B43
780,이하준,여,1964.7.15,유,유,무,부상,신호위반,2022.2.29,108,대덕구 법동,2022B45
621,한윤서,남,1998.4.16,유,유,유,부상,음주운전,2022.2.12,91,동구 자양동,2022B46
840,곽지민,남,1972.6.8,유,유,무,부상,중앙선 침범,2022.2.16,104,유성구 신성동,2022B49
685,장주원,여,1965.7.15,유,유,유,사망,음주운전,2022.2.12,133,유성구 진잠동,2022B5
515,유수정,남,1995.6.18,유,유,무,부상,신호위반,2022.2.12,101,유성구 신성동,2022B50
258,육서준,남,1997.9.14,유,유,유,부상,음주운전,2022.2.12,120,유성구 진잠동,2022B51
969,한지안,여,1986.5.5,유,유,유,사망,음주운전,2022.2.22,131,유성구 신성동,2022B52
559,황민준,남,1993.12.21,유,유,무,사망,중앙선 침범,2022.2.11,130,서구 만년동,2022B55
386,황지안,남,1974.10.31,유,유,무,부상,신호위반,2022.2.19,125,서구 만년동,2022B56
461,한서연,남,1981.2.19,유,유,유,부상,음주운전,2022.2.6,110,서구 갈마동,2022B57
855,김지호,여,1964.8.11,유,유,무,부상,음주운전,2022.2.6,101,서구 갈마동,2022B57
328,유서준,여,1984.9.16,유,유,무,부상,중앙선 침범,2022.2.31,119,동구 신인동,2022B59
451,유지호,남,1964.2.4,유,유,무,부상,중앙선 침범,2022.2.31,97,동구 신인동,2022B59
512,육하윤,남,1975.1.24,유,유,유,부상,과속,2022.2.25,98,서구 둔상동,2022B6
476,최시우,여,1979.10.6,유,유,무,부상,중앙선 침범,2022.2.5,112,동구 자양동,2022B60
618,이연우,남,1981.7.13,유,유,무,부상,중앙선 침범,2022.2.5,105,동구 자양동,2022B60
5,김준우,남,1975.3.24,유,유,무,부상,과속,2022.2.25,115,서구 둔상동,2022B63
469,이윤서,남,1997.9.20,유,유,무,사망,과속,2022.2.25,134,서구 둔상동,2022B63
609,최민서,남,1989.4.16,유,유,무,사망,신호위반,2022.2.31,137,동구 신인동,2022B64
408,노연우,여,1963.11.27,유,유,유,사망,음주운전,2022.2.6,135,서구 만년동,2022B67
487,박민서,남,2000.8.21,유,유,무,사망,음주운전,2022.2.6,134,서구 만년동,2022B67
792,성서윤,남,1996.4.11,유,유,유,부상,음주운전,2022.2.6,99,서구 만년동,2022B67
262,노서진,남,1969.12.19,유,유,무,부상,신호위반,2022.2.10,99,대덕구 회덕동,2022B68
344,장하준,여,1969.5.18,유,유,무,사망,신호위반,2022.2.10,132,대덕구 회덕동,2022B68
156,조윤서,남,1973.4.15,유,유,무,부상,중앙선 침범,2022.2.2,114,서구 월평동,2022B70
928,곽준우,남,1965.6.1,유,유,무,부상,중앙선 침범,2022.2.2,113,서구 월평동,2022B70
121,곽도윤,남,1997.6.31,유,유,무,부상,신호위반,2022.2.20,125,서구 도마동,2022B72
852,이선우,남,1961.7.20,유,유,무,부상,과속,2022.2.7,122,대덕구 회덕동,2022B73
329,조준서,남,1967.4.1,유,유,무,부상,과속,2022.2.8,126,대덕구 오정동,2022B77
694,노지원,남,1983.7.17,유,유,무,사망,과속,2022.2.8,122,대덕구 오정동,2022B77
763,정하준,남,1969.11.19,유,유,무,부상,과속,2022.2.8,94,대덕구 오정동,2022B77
166,정시우,남,1972.10.23,유,유,무,부상,과속,2022.2.30,121,서구 갈마동,2022B79
970,육하은,남,1964.4.16,유,유,무,사망,과속,2022.2.30,111,서구 갈마동,2022B79
371,성지우,남,1994.8.5,유,유,무,사망,중앙선 침범,2022.2.7,111,유성구 노은동,2022B81
610,유민준,여,1990.11.28,유,유,무,부상,중앙선 침범,2022.2.7,114,유성구 노은동,2022B81
646,조지원,여,2002.9.1,유,유,무,부상,과속,2022.2.15,104,중구 목동,2022B82
871,노지우,남,1972.7.23,유,유,무,사망,과속,2022.2.15,135,중구 목동,2022B82
453,박민준,여,1999.11.19,유,유,유,사망,음주운전,2022.2.9,138,동구 신인동,2022B84
949,한지후,여,2000.10.5,유,유,무,부상,음주운전,2022.2.9,111,동구 신인동,2022B84
331,노지유,여,1991.5.22,유,유,무,부상,중앙선 침범,2022.2.21,117,서구 둔상동,2022B87
176,육예준,남,1991.1.25,유,유,무,부상,신호위반,2022.2.30,116,서구 만년동,2022B88
768,최서현,여,1972.10.19,유,유,유,부상,신호위반,2022.2.30,101,서구 만년동,2022B88
901,김시우,남,1965.3.11,유,유,무,부상,신호위반,2022.2.30,126,서구 만년동,2022B88
672,황지우,남,1992.11.4,유,유,무,부상,중앙선 침범,2022.2.11,123,동구 삼성동,2022B9
927,한지우,여,1969.3.6,유,유,유,부상,중앙선 침범,2022.2.11,91,동구 삼성동,2022B9
965,한지호,여,1971.2.12,유,유,무,사망,과속,2022.2.25,96,서구 월평동,2022B90
90,장하윤,남,1977.11.11,유,유,유,사망,음주운전,2022.2.8,100,유성구 신성동,2022B91
538,정하윤,남,1987.2.6,유,유,무,부상,신호위반,2022.2.15,121,동구 용운동,2022B92
836,박지유,여,1965.4.11,유,유,무,부상,신호위반,2022.2.15,127,동구 용운동,2022B92
287,조서진,여,1989.6.2,유,유,유,사망,음주운전,2022.2.15,131,서구 도마동,2022B93
799,조연우,여,1979.5.2,유,유,무,부상,과속,2022.2.21,114,대덕구 송촌동,2022B95
960,유서진,여,1986.11.29,유,유,무,사망,과속,2022.2.21,137,대덕구 송촌동,2022B95
96,황지호,남,1993.6.8,유,유,유,사망,음주운전,2022.2.1,138,동구 용운동,2022B96
333,조시우,여,1961.4.2,유,유,유,부상,음주운전,2022.2.1,95,동구 용운동,2022B96
920,노서진,여,1961.12.17,유,유,무,사망,음주운전,2022.2.1,123,동구 용운동,2022B96
710,정윤서,여,1963.2.19,유,유,유,사망,음주운전,2022.2.14,106,중구 오류동,2022B97
59,노주호,여,1977.5.4,유,유,무,사망,중앙선 침범,2022.2.11,136,동구 삼성동,2022B99
498,황지유,남,1969.2.16,유,유,유,부상,신호위반,2022.3.17,109,대덕구 송촌동,2022C1
281,이시우,여,1982.9.24,유,유,유,부상,음주운전,2022.3.7,108,중구 오류동,2022C13
128,곽준서,여,1994.1.28,유,유,무,부상,중앙선 침범,2022.3.25,91,서구 갈마동,2022C14
321,성도윤,남,1995.11.18,유,유,무,부상,신호위반,2022.3.19,102,유성구 신성동,2022C16
409,박주원,남,1989.6.8,유,유,무,부상,과속,2022.3.12,109,서구 도마동,2022C17
32,노지호,남,1987.5.27,유,유,무,부상,신호위반,2022.3.17,124,대덕구 송촌동,2022C18
818,장준서,여,1983.9.14,유,유,무,부상,신호위반,2022.3.17,124,대덕구 송촌동,2022C18
274,최주원,남,1966.3.15,유,유,무,부상,과속,2022.3.11,109,유성구 전민동,2022C20
937,성지원,여,1982.7.1,유,유,무,부상,과속,2022.3.11,98,유성구 전민동,2022C20
370,한서준,여,1984.10.10,유,유,무,사망,중앙선 침범,2022.3.5,134,대덕구 법동,2022C23
714,장채은,여,1982.3.21,유,유,무,부상,신호위반,2022.3.31,101,중구 은행선화동,2022C24
447,노서진,남,1990.1.25,유,유,무,부상,과속,2022.3.13,102,대덕구 법동,2022C25
231,김서진,여,1992.4.31,유,유,유,부상,음주운전,2022.3.11,119,대덕구 석봉동,2022C26
677,조선우,남,1973.11.14,유,유,무,부상,음주운전,2022.3.11,115,대덕구 석봉동,2022C26
697,한서윤,남,1988.9.30,유,유,무,사망,음주운전,2022.3.11,98,대덕구 석봉동,2022C26
898,박서진,남,1982.10.27,유,유,유,사망,음주운전,2022.3.11,115,대덕구 석봉동,2022C26
909,김민준,남,1979.4.12,유,유,무,부상,음주운전,2022.3.11,127,대덕구 석봉동,2022C26
193,김지유,남,1980.4.20,유,유,무,사망,중앙선 침범,2022.3.14,132,중구 대흥동,2022C27
896,이지우,여,1960.2.12,유,유,무,부상,과속,2022.3.3,90,유성구 진잠동,2022C28
16,황하은,여,1969.3.14,유,유,무,사망,중앙선 침범,2022.3.15,125,동구 효동,2022C29
294,이지민,남,1962.10.17,유,유,무,사망,중앙선 침범,2022.3.15,136,동구 효동,2022C29
340,유지우,여,1986.1.26,유,유,무,부상,중앙선 침범,2022.3.15,105,동구 효동,2022C29
665,조예준,남,1975.1.21,유,유,유,부상,음주운전,2022.3.15,93,대덕구 석봉동,2022C30
495,곽수정,여,1981.9.8,유,유,무,부상,신호위반,2022.3.25,121,유성구 전민동,2022C31
656,성민서,여,1962.2.12,유,유,무,사망,신호위반,2022.3.4,133,중구 오류동,2022C32
21,김채원,남,1988.8.4,유,유,무,사망,과속,2022.3.31,135,대덕구 송촌동,2022C33
199,유하은,남,1994.12.3,유,유,무,부상,과속,2022.3.31,107,대덕구 송촌동,2022C33
612,황서현,여,1983.11.13,유,유,무,부상,중앙선 침범,2022.3.21,96,중구 대사동,2022C35
951,장지후,여,1988.2.8,유,유,무,부상,중앙선 침범,2022.3.21,118,중구 대사동,2022C35
130,박연우,남,1994.4.14,유,유,유,사망,음주운전,2022.3.7,97,유성구 관평동,2022C37
77,성선우,남,1981.11.22,유,유,무,부상,과속,2022.3.26,122,중구 대흥동,2022C39
246,유연우,여,1960.2.29,유,유,무,부상,과속,2022.3.26,121,중구 대흥동,2022C39
393,한서윤,여,1994.8.7,유,유,유,부상,과속,2022.3.26,94,중구 대흥동,2022C39
64,곽채은,남,1993.8.5,유,유,무,사망,과속,2022.3.22,139,동구 용운동,2022C42
235,노준우,남,1978.11.12,유,유,유,사망,과속,2022.3.22,139,동구 용운동,2022C42
573,곽채원,여,1989.7.26,유,유,무,부상,과속,2022.3.22,113,동구 용운동,2022C42
173,이하은,여,1995.12.14,유,유,무,사망,신호위반,2022.3.26,139,동구 효동,2022C44
378,한서연,여,1961.12.15,유,유,무,사망,중앙선 침범,2022.3.22,137,유성구 진잠동,2022C47
436,유채은,남,1971.9.18,유,유,무,사망,중앙선 침범,2022.3.22,135,유성구 진잠동,2022C47
263,곽하은,여,1997.4.28,유,유,유,사망,음주운전,2022.3.2,136,대덕구 회덕동,2022C50
690,황서현,남,1984.12.14,유,유,유,부상,음주운전,2022.3.2,102,대덕구 회덕동,2022C50
817,김지안,여,1978.2.26,유,유,무,사망,음주운전,2022.3.2,138,대덕구 회덕동,2022C50
228,유하은,여,1971.2.7,유,유,유,부상,음주운전,2022.3.9,118,서구 월평동,2022C51
521,장주호,남,1968.12.14,유,유,무,사망,중앙선 침범,2022.3.8,132,중구 목동,2022C55
827,김지우,여,1984.1.9,유,유,무,부상,신호위반,2022.3.17,123,대덕구 송촌동,2022C59
189,성하윤,여,1971.8.1,유,유,유,부상,중앙선 침범,2022.3.2,113,중구 대흥동,2022C6
983,노준서,여,1977.11.17,유,유,유,부상,중앙선 침범,2022.3.2,119,중구 대흥동,2022C6
796,조지호,남,1960.1.1,유,유,무,부상,중앙선 침범,2022.3.7,123,대덕구 석봉동,2022C60
106,이윤서,여,2002.2.22,유,유,유,부상,음주운전,2022.3.7,100,유성구 신성동,2022C61
334,성하윤,남,1976.6.7,유,유,무,부상,신호위반,2022.3.8,113,서구 만년동,2022C62
291,육채원,여,1987.12.14,유,유,무,부상,과속,2022.3.15,94,중구 목동,2022C64
578,최민준,여,1994.10.18,유,유,무,사망,과속,2022.3.15,139,중구 목동,2022C64
754,황서진,여,1994.2.31,유,유,무,부상,과속,2022.3.15,127,중구 목동,2022C64
588,이지후,여,1964.8.26,유,유,유,부상,음주운전,2022.3.15,127,서구 도마동,2022C66
76,성주호,남,1991.10.27,유,유,무,부상,중앙선 침범,2022.3.2,121,중구 대흥동,2022C67
242,육민서,여,1961.10.15,유,유,유,부상,중앙선 침범,2022.3.2,120,중구 대흥동,2022C67
695,박지유,여,1972.2.29,유,유,무,부상,중앙선 침범,2022.3.2,127,중구 대흥동,2022C67
808,최하은,여,1970.6.9,유,유,무,사망,중앙선 침범,2022.3.2,110,중구 대흥동,2022C67
337,정준우,여,1986.12.21,유,유,무,사망,중앙선 침범,2022.3.3,137,유성구 관평동,2022C68
918,노주원,남,1998.4.26,유,유,무,사망,과속,2022.3.6,130,동구 용운동,2022C69
325,황민준,남,1985.1.2,유,유,유,사망,음주운전,2022.3.16,138,대덕구 석봉동,2022C7
959,성주원,남,1998.10.2,유,유,유,부상,음주운전,2022.3.16,94,대덕구 석봉동,2022C7
276,이하준,여,1964.5.26,유,유,무,부상,과속,2022.3.11,124,유성구 노은동,2022C70
95,박주호,여,1962.2.22,유,유,유,부상,음주운전,2022.3.16,116,대덕구 석봉동,2022C71
643,박민준,남,1985.12.18,유,유,무,부상,음주운전,2022.3.16,105,대덕구 석봉동,2022C71
431,성채원,남,1962.9.14,유,유,무,부상,과속,2022.3.23,97,유성구 관평동,2022C74
995,조도윤,여,1981.4.3,유,유,무,사망,과속,2022.3.15,133,동구 신인동,2022C76
314,노서준,여,1975.4.31,유,유,무,부상,중앙선 침범,2022.3.5,109,대덕구 법동,2022C78
838,황지민,여,1967.4.4,유,유,유,부상,중앙선 침범,2022.3.5,93,대덕구 법동,2022C78
394,황주호,남,2001.2.20,유,유,무,사망,중앙선 침범,2022.3.10,137,중구 오류동,2022C81
631,장준서,여,1963.12.31,유,유,무,부상,중앙선 침범,2022.3.10,123,중구 오류동,2022C81
975,육지후,여,1988.1.12,유,유,유,부상,중앙선 침범,2022.3.10,95,중구 오류동,2022C81
867,김지우,여,1993.4.27,유,유,유,부상,음주운전,2022.3.20,107,서구 둔상동,2022C90
561,육예준,여,1970.8.11,유,유,무,부상,신호위반,2022.3.4,110,서구 만년동,2022C92
63,정주호,남,1993.3.11,유,유,무,부상,중앙선 침범,2022.3.9,112,동구 자양동,2022C95
355,황주호,여,1976.8.21,유,유,무,사망,중앙선 침범,2022.3.9,139,동구 자양동,2022C95
828,곽선우,남,1992.10.24,유,유,유,부상,음주운전,2022.3.19,94,동구 삼성동,2022C96
366,정서윤,여,1975.9.7,유,유,무,부상,과속,2022.3.21,101,서구 도마동,2022C97
180,황윤서,여,1987.2.19,유,유,무,부상,중앙선 침범,2022.3.15,96,중구 오류동,2022C98
724,유지안,여,1970.7.31,유,유,유,부상,음주운전,2022.3.13,116,대덕구 오정동,2022C99
791,김서연,남,1978.1.17,유,유,무,부상,과속,2022.4.12,99,중구 목동,2022D1
363,조채은,남,1994.5.14,유,유,무,부상,중앙선 침범,2022.4.8,129,유성구 신성동,2022D10
620,박서준,남,1992.12.14,유,유,유,사망,음주운전,2022.4.12,133,동구 효동,2022D14
75,이민서,남,2001.1.27,유,유,무,부상,과속,2022.4.12,105,중구 목동,2022D17
934,한윤서,여,1979.11.24,유,유,무,부상,중앙선 침범,2022.4.21,128,중구 목동,2022D19
424,정민서,여,1999.2.3,유,유,무,부상,중앙선 침범,2022.4.14,90,중구 대사동,2022D22
805,곽서준,남,1982.4.28,유,유,무,부상,과속,2022.4.12,129,동구 효동,2022D25
