교통사고 당사자 번호,이름,성별,생년월일,면허유무,안전벨트 유무,음주 여부,부상/사망 여부,교통사고 종류,교통사고 날짜,사고직전 속도,사고 발생지,대전시 사고 관리 번호
94,조수정,여,1991.11.18,유,유,유,사망,과속,2022.7.20,125,서구 갈마동,2022G16
95,황지안,남,1970.1.30,유,유,무,부상,과속,2022.12.14,115,중구 오류동,2022L87
96,장시우,남,1973.6.23,유,유,무,부상,과속,2022.1.16,84,동구 효동,2022A64
97,곽지호,여,1970.9.3,유,유,무,부상,신호위반,2022.8.26,89,중구 대사동,2022H54
98,황예준,남,1983.8.29,유,유,무,부상,신호위반,2022.12.7,109,대덕구 송촌동,2022L99
99,조도윤,남,1989.12.2,유,유,유,부상,음주운전,2022.11.11,114,중구 목동,2022K29
100,노민서,남,1974.2.31,유,유,무,부상,중앙선 침범,2022.5.29,110,대덕구 송촌동,2022Z58
101,유지후,여,1985.8.9,유,유,무,부상,신호위반,2022.11.28,114,중구 은행선화동,2022K76
102,최선우,남,1975.12.14,유,유,무,부상,음주운전,2022.12.21,119,중구 은행선화동,2022L81
103,곽수정,남,1982.4.8,유,유,무,사망,과속,2022.2.25,129,중구 은행선화동,2022B50
104,성지민,여,1976.2.13,유,유,무,부상,신호위반,2022.7.22,88,동구 삼성동,2022G63
105,장지호,여,1983.6.28,유,유,무,부상,신호위반,2022.2.23,110,서구 갈마동,2022B84
106,노채원,여,1986.2.13,유,유,무,부상,신호위반,2022.3.5,100,유성구 노은동,2022C9
107,김채원,여,1990.3.14,유,유,무,부상,음주운전,2022.1.21,90,동구 신인동,2022A90
108,유민서,남,1998.8.24,유,유,무,부상,신호위반,2022.3.21,90,대덕구 법동,2022C6
109,김수정,남,1971.8.1,유,유,무,부상,신호위반,2022.10.18,115,중구 대사동,2022J46
110,장채은,남,1973.12.13,유,유,무,사망,과속,2022.3.15,126,서구 월평동,2022C72
111,김하윤,여,1977.10.29,유,유,무,부상,신호위반,2022.1.14,99,유성구 진잠동,2022A10
112,노채은,남,1980.3.12,유,유,무,부상,중앙선 침범,2022.8.16,98,중구 대사동,2022H89
113,성서준,남,1971.4.3,유,유,무,사망,과속,2022.4.11,126,서구 도마동,2022D86
114,정준우,여,1966.2.1,유,유,유,사망,음주운전,2022.9.15,102,동구 자양동,2022I37
115,곽지우,남,1971.1.3,유,유,유,부상,음주운전,2022.7.25,83,중구 은행선화동,2022G89
116,조서연,남,1966.3.9,유,유,무,부상,중앙선 침범,2022.5.18,104,대덕구 법동,2022Z92
117,조서연,여,1986.6.11,유,유,무,부상,음주운전,2022.10.5,110,유성구 노은동,2022J16
118,김민준,여,1964.9.11,유,유,무,부상,중앙선 침범,2022.7.20,94,동구 신인동,2022G10
119,육하준,남,1997.11.3,유,유,무,부상,중앙선 침범,2022.2.4,83,중구 오류동,2022B69
120,장지우,남,1970.10.8,유,유,무,사망,과속,2022.3.26,128,유성구 진잠동,2022C20
121,정윤서,남,1963.7.16,유,유,무,부상,음주운전,2022.9.11,84,동구 신인동,2022I67
122,박채원,남,1982.5.18,유,유,무,부상,신호위반,2022.11.6,110,동구 자양동,2022K70
123,정예준,여,1980.8.23,유,유,무,사망,과속,2022.10.28,123,대덕구 석봉동,2022J68
124,한지민,남,1982.5.30,유,유,무,사망,신호위반,2022.11.6,126,동구 자양동,2022K70
125,육예준,남,1981.8.21,유,유,유,부상,음주운전,2022.4.21,82,동구 신인동,2022D25
126,박시우,남,1976.8.2,유,유,무,사망,과속,2022.6.1,127,동구 자양동,2022F46
127,육지우,남,1970.7.17,유,유,무,사망,음주운전,2022.11.1,104,동구 용운동,2022K85
128,이서연,여,1986.4.20,유,유,무,부상,음주운전,2022.1.11,82,유성구 관평동,2022A31
129,황지후,여,1994.11.21,유,유,무,사망,과속,2022.4.19,123,유성구 진잠동,2022D18
130,김수정,여,1989.8.13,유,유,무,부상,신호위반,2022.4.16,93,유성구 진잠동,2022D76
131,박민준,남,1993.11.23,유,유,유,부상,음주운전,2022.9.25,107,서구 만년동,2022I28
132,박윤서,여,1998.6.14,유,유,무,부상,음주운전,2022.10.1,90,동구 효동,2022J54
133,한주호,남,1965.9.4,유,유,무,부상,과속,2022.4.25,80,중구 목동,2022D3
134,유채은,남,1972.12.6,유,유,무,부상,과속,2022.12.27,116,서구 갈마동,2022L1
135,장도윤,남,1964.8.7,유,유,무,부상,신호위반,2022.6.23,83,동구 신인동,2022F70
136,곽서준,남,1967.11.27,유,유,무,부상,음주운전,2022.7.22,93,유성구 노은동,2022G23
137,황지호,여,1961.12.18,유,유,무,부상,과속,2022.10.22,97,유성구 전민동,2022J79
138,최하준,남,1998.8.12,유,유,무,부상,과속,2022.5.17,96,동구 자양동,2022Z10
139,김선우,여,1981.1.11,유,유,무,사망,과속,2022.6.18,122,서구 월평동,2022F69
140,황준우,여,1972.12.19,유,유,무,부상,음주운전,2022.2.15,107,유성구 전민동,2022B71
141,정서준,여,2000.11.27,유,유,유,부상,음주운전,2022.6.26,94,동구 신인동,2022F42
142,성준서,여,1997.5.4,유,유,무,사망,과속,2022.11.7,125,중구 목동,2022K62
143,한도윤,남,1992.8.26,유,유,무,부상,중앙선 침범,2022.4.10,116,중구 대흥동,2022D81
144,김하윤,남,1994.10.10,유,유,무,부상,과속,2022.1.21,103,동구 용운동,2022A52
145,이준서,남,1998.2.26,유,유,무,부상,중앙선 침범,2022.8.24,91,유성구 신성동,2022H4
146,황시우,남,2001.7.4,유,유,유,사망,음주운전,2022.5.26,115,유성구 노은동,2022Z34
147,최지우,여,1974.1.13,유,유,무,부상,신호위반,2022.7.7,113,동구 자양동,2022G85
148,곽지안,남,1968.2.1,유,유,무,부상,중앙선 침범,2022.12.31,112,유성구 전민동,2022L4
149,김주원,남,1967.5.4,유,유,무,부상,음주운전,2022.11.4,93,서구 도마동,2022K16
150,노지유,여,1994.1.26,유,유,무,부상,음주운전,2022.6.10,110,유성구 신성동,2022F86
151,곽지민,남,1966.10.17,유,유,무,부상,중앙선 침범,2022.7.13,109,동구 효동,2022G80
152,유시우,여,1989.3.9,유,유,무,사망,과속,2022.9.22,128,서구 도마동,2022I45
153,성지민,남,1996.4.11,유,유,무,사망,과속,2022.2.9,129,대덕구 석봉동,2022B60
154,박도윤,여,1972.6.21,유,유,무,부상,과속,2022.3.10,82,유성구 노은동,2022C46
155,이서진,여,2001.5.30,유,유,무,사망,과속,2022.3.10,122,유성구 노은동,2022C46
156,유지후,남,1980.10.30,유,유,무,부상,과속,2022.2.22,84,중구 오류동,2022B32
157,장채은,남,1967.2.10,유,유,무,부상,과속,2022.5.5,88,동구 삼성동,2022Z68
158,조도윤,여,1967.12.29,유,유,무,부상,중앙선 침범,2022.7.16,102,중구 오류동,2022G92
159,최지안,여,2001.8.27,유,유,무,부상,과속,2022.2.26,93,유성구 노은동,2022B81
160,노도윤,남,1986.2.16,유,유,무,부상,음주운전,2022.4.23,98,중구 은행선화동,2022D74
161,박수정,남,1962.5.24,유,유,무,부상,과속,2022.12.6,103,유성구 노은동,2022L27
162,박지안,남,1962.1.22,유,유,무,부상,중앙선 침범,2022.2.13,99,동구 용운동,2022B14
163,장서준,남,2002.12.23,유,유,무,부상,신호위반,2022.2.23,84,유성구 관평동,2022B20
164,유지안,여,1983.3.19,유,유,무,사망,과속,2022.7.7,125,동구 효동,2022G62
165,황서연,남,1972.12.6,유,유,무,부상,과속,2022.7.13,101,서구 만년동,2022G15
166,육지원,남,1981.4.6,유,유,무,부상,중앙선 침범,2022.12.15,81,동구 신인동,2022L67
167,노지호,여,1967.10.30,유,유,유,부상,음주운전,2022.3.21,87,대덕구 석봉동,2022C3
168,노지우,남,1966.11.18,유,유,무,부상,과속,2022.3.13,93,서구 둔상동,2022C44
169,박예준,여,1961.4.3,유,유,무,부상,음주운전,2022.3.20,100,서구 도마동,2022C93
170,정민서,남,1966.8.29,유,유,무,부상,과속,2022.4.12,89,서구 둔상동,2022D27
171,장서준,남,1980.4.28,유,유,무,부상,음주운전,2022.11.30,117,유성구 전민동,2022K27
172,장주호,남,1996.2.29,유,유,무,부상,신호위반,2022.11.28,96,유성구 관평동,2022K73
173,유하은,남,1971.1.24,유,유,무,사망,과속,2022.4.30,129,유성구 전민동,2022D58
174,최서연,여,1997.12.18,유,유,무,사망,과속,2022.1.11,116,유성구 진잠동,2022A88
175,조하윤,여,1980.10.29,유,유,무,사망,과속,2022.9.24,129,대덕구 송촌동,2022I49
176,육준우,여,1998.11.29,유,유,무,사망,과속,2022.8.16,126,서구 월평동,2022H92
177,곽채은,남,1973.11.16,유,유,무,사망,과속,2022.11.1,120,대덕구 법동,2022K48
178,김연우,남,1992.3.5,유,유,무,부상,신호위반,2022.8.23,87,중구 대흥동,2022H70
179,노지호,여,1962.2.22,유,유,무,사망,과속,2022.3.26,101,유성구 진잠동,2022C20
180,육도윤,여,1971.3.10,유,유,무,사망,과속,2022.2.9,126,대덕구 석봉동,2022B60
181,이선우,여,1969.11.4,유,유,무,부상,중앙선 침범,2022.9.18,115,유성구 관평동,2022I82
182,성서연,여,1990.4.28,유,유,무,사망,과속,2022.12.12,120,동구 효동,2022L8
183,박하은,남,1982.12.8,유,유,무,사망,음주운전,2022.3.8,127,서구 도마동,2022C4
184,최민서,여,1997.6.10,유,유,무,부상,음주운전,2022.9.26,93,중구 오류동,2022I44
185,유지민,여,1969.3.21,유,유,무,사망,신호위반,2022.6.14,108,서구 만년동,2022F65
186,장예준,여,1976.2.16,유,유,무,사망,음주운전,2022.1.18,119,동구 삼성동,2022A72
187,노시우,남,1975.12.6,유,유,유,부상,음주운전,2022.9.16,104,대덕구 법동,2022I66
188,정준우,여,1984.1.17,유,유,무,사망,과속,2022.12.29,129,서구 둔상동,2022L80
189,성지우,여,1984.2.8,유,유,무,부상,과속,2022.8.23,107,유성구 관평동,2022H68
190,황준우,여,1988.9.5,유,유,무,부상,음주운전,2022.11.15,96,서구 둔상동,2022K3
191,조서윤,남,1996.8.24,유,유,무,부상,신호위반,2022.2.25,93,대덕구 석봉동,2022B11
192,육주원,남,1969.11.13,유,유,무,부상,과속,2022.5.29,98,중구 은행선화동,2022Z21
193,유수정,여,1993.10.14,유,유,무,부상,중앙선 침범,2022.11.23,83,유성구 신성동,2022K46
194,유주원,여,1969.3.14,유,유,무,부상,신호위반,2022.1.16,119,대덕구 송촌동,2022A42
195,노지안,여,1961.1.25,유,유,무,부상,음주운전,2022.6.31,82,서구 도마동,2022F57
196,정서윤,여,1966.4.7,유,유,무,부상,과속,2022.7.8,87,서구 갈마동,2022G26
197,박윤서,남,1997.3.6,유,유,무,사망,과속,2022.11.9,127,서구 갈마동,2022K14
198,장주원,여,1968.1.25,유,유,무,부상,중앙선 침범,2022.8.20,84,동구 신인동,2022H51
199,정주원,여,1999.10.31,유,유,무,부상,과속,2022.6.1,96,동구 삼성동,2022F58
200,한주호,여,1969.12.26,유,유,무,부상,과속,2022.7.4,104,서구 도마동,2022G38
201,노준우,여,1984.4.1,유,유,무,부상,음주운전,2022.12.21,88,중구 은행선화동,2022L81
202,노도윤,남,1980.1.5,유,유,무,부상,음주운전,2022.4.1,106,대덕구 회덕동,2022D92
203,노지후,여,1965.1.12,유,유,무,사망,과속,2022.12.20,122,서구 갈마동,2022L46
204,한서준,여,1979.5.4,유,유,무,사망,과속,2022.7.25,124,유성구 노은동,2022G29
205,성윤서,여,1969.9.21,유,유,무,사망,중앙선 침범,2022.3.25,113,유성구 노은동,2022C71
206,박도윤,여,1975.4.27,유,유,유,사망,음주운전,2022.6.27,110,유성구 전민동,2022F51
207,황주호,여,2001.6.5,유,유,무,사망,과속,2022.1.21,120,대덕구 회덕동,2022A47
208,유주원,남,1975.5.20,유,유,무,부상,과속,2022.2.25,89,중구 은행선화동,2022B50
209,김민준,여,1992.1.13,유,유,무,부상,음주운전,2022.10.8,106,동구 용운동,2022J29
210,한하준,남,1998.7.18,유,유,유,부상,음주운전,2022.9.31,99,서구 둔상동,2022I10
211,성채원,여,1992.3.6,유,유,무,부상,신호위반,2022.11.10,117,유성구 노은동,2022K60
212,곽채은,남,1978.4.25,유,유,무,부상,신호위반,2022.10.4,95,대덕구 회덕동,2022J81
213,김지우,남,1966.4.4,유,유,유,부상,음주운전,2022.5.24,87,유성구 진잠동,2022Z82
214,황하윤,여,1967.5.2,유,유,무,부상,음주운전,2022.7.28,81,동구 용운동,2022G51
215,한선우,남,1995.7.29,유,유,무,사망,음주운전,2022.9.18,114,중구 은행선화동,2022I69
216,이서연,여,1984.1.19,유,유,무,부상,과속,2022.1.17,110,대덕구 오정동,2022A55
217,노하은,여,1996.6.22,유,유,무,부상,음주운전,2022.8.11,87,서구 둔상동,2022H7
218,이시우,여,1961.6.11,유,유,무,부상,음주운전,2022.9.26,105,중구 오류동,2022I44
219,성서연,남,1986.2.14,유,유,무,부상,신호위반,2022.7.22,83,동구 삼성동,2022G63
220,조윤서,남,2001.7.20,유,유,무,사망,과속,2022.6.18,120,서구 월평동,2022F6
221,최준우,남,1962.2.11,유,유,유,부상,음주운전,2022.1.1,116,동구 자양동,2022A99
222,조지우,여,1998.11.22,유,유,무,사망,과속,2022.9.16,128,대덕구 석봉동,2022I94
223,이민준,여,2001.8.4,유,유,무,부상,과속,2022.8.29,95,유성구 신성동,2022H26
224,곽준서,남,1994.8.27,유,유,무,부상,과속,2022.9.25,99,유성구 관평동,2022I97
225,육예준,남,1998.4.16,유,유,무,부상,과속,2022.10.20,96,서구 도마동,2022J11
226,조주원,남,1969.7.21,유,유,무,부상,과속,2022.7.3,102,중구 대사동,2022G86
227,최주원,여,1997.5.21,유,유,무,사망,신호위반,2022.3.5,128,유성구 노은동,2022C9
228,노지후,여,1960.6.15,유,유,무,부상,과속,2022.12.6,100,유성구 노은동,2022L27
229,한지안,남,1993.9.5,유,유,무,사망,음주운전,2022.3.8,120,서구 도마동,2022C4
230,유서준,남,1982.12.30,유,유,무,부상,중앙선 침범,2022.9.9,112,유성구 노은동,2022I5
231,장채원,여,1981.3.29,유,유,무,부상,음주운전,2022.10.23,116,대덕구 송촌동,2022J73
232,조하준,여,1974.6.1,유,유,무,부상,음주운전,2022.10.11,110,유성구 신성동,2022J18
233,곽주호,여,1967.5.7,유,유,유,부상,음주운전,2022.9.26,83,중구 대흥동,2022I86
234,황서준,여,1973.2.10,유,유,무,부상,중앙선 침범,2022.5.20,99,동구 신인동,2022Z63
235,정지호,남,1981.9.5,유,유,무,부상,과속,2022.3.16,99,유성구 노은동,2022C25
236,조서연,남,1993.4.30,유,유,무,부상,중앙선 침범,2022.2.29,107,동구 자양동,2022B12
237,노지후,남,1972.4.15,유,유,무,사망,과속,2022.8.30,123,중구 은행선화동,2022H65
238,장채은,여,1983.3.16,유,유,무,부상,신호위반,2022.3.15,118,대덕구 석봉동,2022C30
239,황지원,여,1974.4.24,유,유,무,부상,신호위반,2022.3.15,93,대덕구 석봉동,2022C30
240,정준서,남,1968.12.11,유,유,무,부상,음주운전,2022.1.9,86,대덕구 회덕동,2022A85
241,육준서,여,1981.7.27,유,유,무,사망,과속,2022.9.9,121,동구 효동,2022I81
242,조윤서,남,1987.6.16,유,유,무,부상,과속,2022.10.22,115,대덕구 회덕동,2022J49
243,노서준,여,1963.3.19,유,유,무,부상,중앙선 침범,2022.8.16,108,중구 대사동,2022H8
244,노서연,남,1970.6.26,유,유,무,부상,음주운전,2022.3.20,99,동구 효동,2022C18
245,한채원,남,1962.3.28,유,유,무,사망,과속,2022.5.29,101,동구 효동,2022Z40
246,조주원,여,1981.6.7,유,유,무,부상,신호위반,2022.7.22,84,대덕구 송촌동,2022G75
247,황민서,남,1968.6.21,유,유,무,사망,음주운전,2022.1.18,101,동구 삼성동,2022A72
248,이연우,남,1994.8.1,유,유,무,부상,신호위반,2022.10.28,92,중구 대사동,2022J97
249,곽민서,여,1976.5.30,유,유,무,부상,과속,2022.10.28,98,대덕구 석봉동,2022J68
250,최주원,여,1982.4.11,유,유,무,부상,신호위반,2022.3.29,90,서구 갈마동,2022C16
251,육연우,여,1985.8.8,유,유,무,부상,중앙선 침범,2022.8.16,88,중구 대사동,2022H89
252,유수정,여,1996.9.26,유,유,무,부상,음주운전,2022.1.22,101,중구 대사동,2022A4
253,유시우,남,1971.9.3,유,유,무,부상,중앙선 침범,2022.8.23,104,중구 오류동,2022H21
254,장채원,남,2002.5.5,유,유,무,부상,신호위반,2022.9.30,106,동구 신인동,2022I85
255,김수정,남,1977.8.30,유,유,무,부상,과속,2022.6.26,91,중구 목동,2022F53
256,최지유,여,1963.11.29,유,유,무,부상,신호위반,2022.9.19,111,동구 효동,2022I39
257,황서현,남,1981.9.2,유,유,무,부상,과속,2022.1.17,100,중구 오류동,2022A78
258,육지우,여,1984.4.21,유,유,무,부상,중앙선 침범,2022.9.3,100,동구 신인동,2022I63
259,조서준,남,1996.7.11,유,유,유,부상,음주운전,2022.10.20,80,동구 신인동,2022J45
260,이준우,여,1974.2.4,유,유,무,부상,중앙선 침범,2022.1.19,100,중구 오류동,2022A95
261,황주호,남,1978.8.30,유,유,무,부상,음주운전,2022.5.29,88,서구 월평동,2022Z95
262,김서윤,여,1992.5.29,유,유,무,사망,과속,2022.5.27,121,동구 용운동,2022Z98
263,조선우,남,1992.7.31,유,유,무,부상,과속,2022.9.24,104,서구 갈마동,2022I57
264,이지후,여,1965.11.7,유,유,무,부상,음주운전,2022.10.31,89,동구 삼성동,2022J80
265,성서진,남,1997.11.24,유,유,무,부상,음주운전,2022.2.26,114,동구 효동,2022B37
266,유지후,여,1988.3.15,유,유,무,부상,과속,2022.6.10,109,중구 대흥동,2022F16
267,장주원,여,1995.2.5,유,유,무,사망,과속,2022.10.22,125,대덕구 회덕동,2022J49
268,한지호,남,1969.8.31,유,유,무,부상,과속,2022.10.2,87,서구 월평동,2022J86
269,유서윤,여,1985.3.16,유,유,무,부상,과속,2022.3.13,106,동구 자양동,2022C57
270,장지유,여,1975.4.16,유,유,무,사망,과속,2022.1.16,123,동구 효동,2022A71
271,이지안,남,1968.9.24,유,유,무,부상,신호위반,2022.4.3,119,동구 효동,2022D39
